x,y,z
97.75,24.81646515471,0.0
97.804619064388,22.683138020982,0.0
98.019478392734,20.528902072448,0.0
98.395637945024,18.39747604668,0.0
98.930368016825,16.301026222511,0.0
99.620030253821,14.251366928859,0.0
100.460122476997,12.259894810258,0.0
101.44532797025,10.337528521029,0.0
102.569568609064,8.494654115531,0.0
103.826061197178,6.741076334439,0.0
105.239168834333,5.066450575913,0.0
106.823018483125,3.525112974391,0.0
108.551397002099,2.150946981909,0.0
110.406594665568,0.956936716966,0.0
112.369846147976,-0.045830331458,0.0
114.421536030124,-0.84823005428,0.0
116.541405121159,-1.443146038807,0.0
118.708755147389,-1.825492208163,0.0
120.902649549301,-1.992214805358,0.0
122.957690180287,-2.0,0.0
124.584633096911,-2.0,0.0
201.870901177345,-2.0,0.0
203.870901177345,-2.0,0.0
205.870901177345,-2.0,0.0
207.870901177345,-2.0,0.0
209.870901177345,-2.0,0.0
211.149288707393,-2.0,0.0
211.149288707393,-2.0,0.0
213.149288707393,-2.0,0.0
215.149288707393,-2.0,0.0
217.149288707393,-2.0,0.0
219.149288707393,-2.0,0.0
221.149288707393,-2.0,0.0
223.149288707393,-2.0,0.0
225.149288707393,-2.0,0.0
227.149288707393,-2.0,0.0
229.149288707393,-2.0,0.0
231.149288707393,-2.0,0.0
233.149288707393,-2.0,0.0
235.149288707393,-2.0,0.0
237.149288707393,-2.0,0.0
239.149288707393,-2.0,0.0
241.149288707393,-2.0,0.0
243.149288707393,-2.0,0.0
245.149288707393,-2.0,0.0
247.149288707393,-2.0,0.0
249.149288707393,-2.0,0.0
251.149288707393,-2.0,0.0
253.149288707393,-2.0,0.0
255.149288707393,-2.0,0.0
257.149288707393,-2.0,0.0
259.149288707393,-2.0,0.0
261.149288707393,-2.0,0.0
263.149288707393,-2.0,0.0
265.149288707393,-2.0,0.0
267.149288707393,-2.0,0.0
269.149288707393,-2.0,0.0
271.149288707393,-2.0,0.0
273.149288707393,-2.0,0.0
275.520693991407,-2.0,0.0
275.520693991407,-2.0,0.0
277.520693991407,-2.0,0.0
279.520693991407,-2.0,0.0
281.520693991407,-2.0,0.0
283.520693991407,-2.0,0.0
285.520693991407,-2.0,0.0
287.520693991407,-2.0,0.0
289.520693991407,-2.0,0.0
291.520693991407,-2.0,0.0
293.520693991407,-2.0,0.0
295.520693991407,-2.0,0.0
297.520693991407,-2.0,0.0
299.520693991407,-2.0,0.0
301.520693991407,-2.0,0.0
303.520693991407,-2.0,0.0
305.520693991407,-2.0,0.0
307.520693991407,-2.0,0.0
309.520693991407,-2.0,0.0
311.520693991407,-2.0,0.0
313.520693991407,-2.0,0.0
315.520693991407,-2.0,0.0
317.520693991407,-2.0,0.0
319.520693991407,-2.0,0.0
321.520693991407,-2.0,0.0
324.466335448254,-2.0,0.0
324.466335448254,-2.0,0.0
326.466335448254,-2.0,0.0
328.466335448254,-2.0,0.0
330.466335448254,-2.0,0.0
332.466335448254,-2.0,0.0
334.466335448254,-2.0,0.0
336.466335448254,-2.0,0.0
338.466335448254,-2.0,0.0
340.466335448254,-2.0,0.0
342.466335448254,-2.0,0.0
344.466335448254,-2.0,0.0
346.466335448254,-2.0,0.0
348.466335448254,-2.0,0.0
350.466335448254,-2.0,0.0
352.466335448254,-2.0,0.0
354.466335448254,-2.0,0.0
356.466335448254,-2.0,0.0
358.466335448254,-2.0,0.0
360.466335448254,-2.0,0.0
362.466335448254,-2.0,0.0
364.466335448254,-2.0,0.0
366.466335448254,-2.0,0.0
368.466335448254,-2.0,0.0
370.466335448254,-2.0,0.0
372.466335448254,-2.0,0.0
374.466335448254,-2.0,0.0
376.466335448254,-2.0,0.0
378.466335448254,-2.0,0.0
380.466335448254,-2.0,0.0
382.466335448254,-2.0,0.0
384.466335448254,-2.0,0.0
386.466335448254,-2.0,0.0
388.466335448254,-2.0,0.0
390.466335448254,-2.0,0.0
392.466335448254,-2.0,0.0
394.466335448254,-2.0,0.0
396.466335448254,-2.0,0.0
398.466335448254,-2.0,0.0
400.466335448254,-2.0,0.0
402.466335448254,-2.0,0.0
404.466335448254,-2.0,0.0
406.466335448254,-2.0,0.0
408.466335448254,-2.0,0.0
410.466335448254,-2.0,0.0
412.466335448254,-2.0,0.0
414.466335448254,-2.0,0.0
416.466335448254,-2.0,0.0
418.466335448254,-2.0,0.0
420.466335448254,-2.0,0.0
422.466335448254,-2.0,0.0
424.466335448254,-2.0,0.0
426.199915776491,-2.0,0.0
426.199915776491,-2.0,0.0
428.199915776491,-2.0,0.0
430.199915776491,-2.0,0.0
432.199915776491,-2.0,0.0
434.806692032487,-2.0,0.0
434.806692032487,-2.0,0.0
436.806692032487,-2.0,0.0
438.806692032487,-2.0,0.0
440.806692032487,-2.0,0.0
442.806692032487,-2.0,0.0
444.806692032487,-2.0,0.0
446.806692032487,-2.0,0.0
448.806692032487,-2.0,0.0
450.806692032487,-2.0,0.0
452.806692032487,-2.0,0.0
454.806692032487,-2.0,0.0
456.806692032487,-2.0,0.0
