x,y,velocity,object_type,name
544.0297343001948,-22.502281108969353,0,3,653
540.4072312227617,-22.510686765395683,0,3,654
551.308827846942,29.603312794328254,0,3,651
568.5193105613479,-5.385823202701103,0,3,650
567.61319583311,-1.896633111654484,0,3,649
554.9137536308644,29.603312794328104,0,3,652
297.2712809310541,-10.964854160421858,0,3,643
293.6663550991264,-10.964853616093183,0,3,644
320.43054342813286,-5.79993253999502,0,3,646
320.4305435857092,-2.195006708067284,0,3,645
277.9085593072573,3.081408030544854,0,3,647
277.91739117103646,6.686323194238168,0,3,648
312.9926746739365,214.5745315640751,0,3,669
312.6687609719915,214.8891851528833,0,3,670
308.8264657170082,214.7715644971653,0,3,668
287.14358429083404,205.05975853534585,0,3,659
313.34381262867794,194.29261269195715,0,3,663
313.46900715116794,186.8451606166055,0,3,666
313.1513136416298,186.51711719236448,0,3,665
313.34163450154483,190.68613351398025,0,3,664
287.14343599411274,208.6645923695927,0,3,660
287.33518912752385,212.83455893707992,0,3,661
287.0194750309244,212.5077229631281,0,3,662
305.2199059044209,214.7835638920378,0,3,667
296.3692359395271,185.59567814177328,0,3,655
292.7649905200118,185.6033988071278,0,3,656
288.59473346892423,185.80663556883616,0,3,657
288.9229096864962,185.48685168519944,0,3,658
454.90484527716217,403.8965657863224,0,3,691
466.897795598138,383.34814584110217,0,3,696
470.4961676963642,383.5547867079558,0,3,695
462.722346065153,383.30325372794994,0,3,697
463.0677647893256,383.005211888564,0,3,698
454.7770323677434,411.3426385172907,0,3,694
455.0957346626007,411.6711958896199,0,3,693
454.903221821462,407.5008580930286,0,3,692
502.7004937376415,392.0648187646879,0,3,683
502.701232379225,388.4603903029376,0,3,684
502.82670320824303,384.6177601126869,0,3,686
502.5082432055808,384.28903699150624,0,3,685
501.32019356399945,416.31510378270855,0,3,689
500.9585895883637,416.60510107228976,0,3,690
497.14623291023577,416.1122920680803,0,3,688
493.5604667669744,415.7632853129204,0,3,687
85.07228071602336,6.693588141570645,0,3,640
116.93164146117364,-5.871702262680463,0,3,638
116.93164161874996,-2.2667764307527274,0,3,637
85.07146422410185,3.088220016634598,0,3,639
95.55250164453658,-10.211463303898364,0,3,642
99.15742747646432,-10.211463848227035,0,3,641
303.8612569593504,410.7319495066502,0,3,677
307.4661827912781,410.7319495066502,0,3,678
278.99714613439664,406.5783349049588,0,3,680
278.99714629197297,402.9734090730311,0,3,679
315.668466812107,395.8224005523295,0,3,681
315.658378814897,392.21682271656624,0,3,682
488.241435729132,182.04603077556365,0,3,674
491.8448934898428,182.04824642273783,0,3,673
519.771964919667,192.93761957766915,0,3,676
519.0810367257062,196.47571549394277,0,3,675
509.5398521258274,231.69174319464432,0,3,672
505.9349262225952,231.6917431946443,0,3,671
106.84939848146443,219.6570282538988,0,3,634
88.81380415441616,213.3034325612088,0,3,636
88.81380431199247,209.69850672928104,0,3,635
92.07514566704026,185.97093098859983,0,3,632
103.24440515270976,219.65733402813456,0,3,633
95.680071498968,185.9709306734472,0,3,631
