FolderPath,PrefabName,InitPos,InitRot,GameObjectName
Assets/1_Module/Map/MapManagerModule/RoadObject/Models/US_TrafficSign\0_Model,DoNotEnter.fbx,-542.913131/-11.704533/-195.511620,0.0/-192.219330/0.0,b04821a7-78ae-4903-8dbf-ff974d487e7c
Assets/1_Module/Map/MapManagerModule/RoadObject/Models/US_TrafficSign\0_Model,DoNotEnter.fbx,-549.554783/-10.546099/-212.293772,0.0/-234.567200/0.0,efa1ce00-45ad-42f8-a87a-e225279b8659
Assets/1_Module/Map/MapManagerModule/RoadObject/Models/US_TrafficSign\0_Model,Signalahead.fbx,-699.408561/3.031457/-25.247946,0.0/-48.401505/0.0,b7210b92-0c02-4906-a47e-8392c02da79d
Assets/1_Module/Map/MapManagerModule/RoadObject/Models/US_TrafficSign\0_Model,Signalahead.fbx,-796.827596/0.177012/81.005164,0.0/0.671303/0.0,d37af128-12b3-409d-afe8-261f60b33fb3
Assets/1_Module/Map/MapManagerModule/RoadObject/Models/US_TrafficSign\3_other_Model,US101.fbx,-899.598563/-13.029778/-199.891142,0.0/-118.276260/0.0,cca2817e-cd1a-4610-a320-0c89245b0c76
Assets/1_Module/Map/MapManagerModule/RoadObject/Models/US_TrafficSign\0_Model,DoNotEnter.fbx,-922.792273/-12.205191/-188.452521,0.0/-135.542114/0.0,f2a0e4c5-7c3e-46a0-844f-6533f9f55671
Assets/1_Module/Map/MapManagerModule/RoadObject/Models/US_TrafficSign\0_Model,DoNotEnter.fbx,-922.831672/-11.656535/-188.409065,0.0/-135.542114/0.0,af8806f7-743c-4423-be89-27a764d7b1a5
Assets/1_Module/Map/MapManagerModule/RoadObject/Models/US_TrafficSign\0_Model,OneWay.fbx,-925.450542/-12.271519/-191.089073,0.0/-40.154755/0.0,f9df9edb-ba6e-4965-b32c-567881dc581e
Assets/1_Module/Map/MapManagerModule/RoadObject/Models/US_TrafficSign\0_Model,DoNotEnter.fbx,-930.933230/-10.738699/-180.257465,0.0/-132.375931/0.0,bfbb23bb-442f-4414-9379-63744d4dfd66
Assets/1_Module/Map/MapManagerModule/RoadObject/Models/US_TrafficSign\0_Model,OneWay.fbx,-933.968022/-12.662233/-182.443859,0.0/-212.748840/0.0,de196222-8faf-4c17-a059-edc8bd4b97e4
Assets/1_Module/Map/MapManagerModule/RoadObject/Models/US_TrafficSign\0_Model,Signalahead.fbx,-706.980488/2.976200/-32.818647,0.0/-44.592926/0.0,ca43e737-5b8d-4e9e-8259-78886c836cff
Assets/1_Module/Map/MapManagerModule/RoadObject/Models/US_TrafficSign\0_Model,OneWay.fbx,-535.398308/-11.423443/-206.500985,0.0/-111.670822/0.0,b61ffb4f-bbc7-47e5-985d-21244c3364e2
Assets/1_Module/Map/MapManagerModule/RoadObject/Models/US_TrafficSign\0_Model,Signalahead.fbx,-783.050325/0.669807/62.852333,0.0/-11.191467/0.0,b0bdd056-fbf4-4e51-bcc6-18443d185657
Assets/1_Module/Map/MapManagerModule/RoadObject/Models/US_TrafficSign\0_Model,DoNotEnter.fbx,-930.972027/-11.714985/-180.260605,0.0/-132.375931/0.0,a0ef7765-bb4b-4779-b1cb-29252ab8521b
Assets/1_Module/Map/MapManagerModule/RoadObject/Models/US_TrafficSign\0_Model,NoLeftTurn.fbx,-535.405186/-10.183892/-206.369359,0.0/-34.698586/0.0,d5db92f1-e200-4c5e-9d7c-9f452fffb586
Assets/1_Module/Map/MapManagerModule/RoadObject/Models/US_TrafficSign\3_other_Model,US101.fbx,-834.687584/6.093614/455.669449,0.0/-218.941254/0.0,ee3410db-c744-4b19-8bf5-b9d28f9ce3ae
Assets/1_Module/Map/MapManagerModule/RoadObject/Models/US_TrafficSign\0_Model,NoLeftTurn.fbx,-567.415019/-8.380012/-162.059807,0.0/-37.081551/0.0,94b0c08e-dbfe-4f92-b751-551faee2bc9b
Assets/1_Module/Map/MapManagerModule/RoadObject/Models/US_TrafficSign\0_Model,DoNotEnter.fbx,-920.779476/-11.435250/-193.535145,0.0/-165.423950/0.0,8aaa7f6c-bdd9-4b6b-b67b-fee43e95932b
Assets/1_Module/Map/MapManagerModule/RoadObject/Models/US_TrafficSign\0_Model,DoNotEnter.fbx,-549.671907/-9.927206/-212.089901,0.0/-234.567200/0.0,d9d5d308-b1fb-4553-a824-2d4ac0b5e7be
